_id,origin_zone,Origin Name,Destination_zone,Destination Name,Commodity Group code,Commodity Group,Daily trips,comodity weight (KG),Commodity Value ($)
1,1000,Newfoundland And Labrado,3510,Frontenac,32,Empty,1.06, -   , -   
2,1100,Prince Edward Island,3520,Toronto,23,Paper and paper products,1.39," 18,522 "," 59,347 "
3,1100,Prince Edward Island,3520,Toronto,26,Potatoes,1.71," 37,951 "," 16,770 "
4,1100,Prince Edward Island,3541,Bruce,19,Other agriculture and food products,1.36," 41,836 "," 97,185 "
5,1200,Nova Scotia,3512,Hastings,19,Other agriculture and food products,1.03," 20,626 "," 28,943 "
6,1200,Nova Scotia,3520,Toronto,3,Automobiles and other vehicles/ gte,1.69," 19,469 "," 312,727 "
7,1200,Nova Scotia,3521,Peel,19,Other agriculture and food products,5.00," 70,653 "," 201,141 "
8,1200,Nova Scotia,3521,Peel,21,Other manufactured and miscellaneous goods,1.98," 23,131 "," 151,362 "
9,1200,Nova Scotia,3521,Peel,25,Plastics and rubber products,1.36," 29,497 "," 110,276 "
10,1200,Nova Scotia,7017,Illinois,25,Plastics and rubber products,1.42," 25,750 "," 95,671 "
11,1200,Nova Scotia,7026,Michigan,25,Plastics and rubber products,1.08," 19,053 "," 70,796 "
12,1200,Nova Scotia,7027,Minnesota,12,Machinery,1.93," 23,752 "," 255,267 "
13,1300,New Brunswick,2400,Quebec,26,Potatoes,1.39," 42,928 "," 18,970 "
14,1300,New Brunswick,3501,"Stormont, Dundas & Glengarry",23,Paper and paper products,2.12," 8,925 "," 21,502 "
15,1300,New Brunswick,3501,"Stormont, Dundas & Glengarry",32,Empty,1.38, -   , -   
16,1300,New Brunswick,3506,Ottawa-Carleton,19,Other agriculture and food products,1.58," 24,159 "," 31,649 "
17,1300,New Brunswick,3512,Hastings,21,Other manufactured and miscellaneous goods,1.61," 25,491 "," 173,216 "
18,1300,New Brunswick,3519,York,13,"Meat, fish and seafood",1.32," 24,545 "," 132,603 "
19,1300,New Brunswick,3519,York,19,Other agriculture and food products,1.22," 25,114 "," 37,346 "
20,1300,New Brunswick,3519,York,22,Other raw and finished forest products,1.46," 34,226 "," 11,106 "
21,1300,New Brunswick,3520,Toronto,5,Cement and non-metallic mineral products,1.71," 61,247 "," 257,059 "
22,1300,New Brunswick,3520,Toronto,13,"Meat, fish and seafood",2.30," 37,982 "," 185,575 "
23,1300,New Brunswick,3520,Toronto,23,Paper and paper products,6.62," 74,906 "," 199,336 "
24,1300,New Brunswick,3520,Toronto,26,Potatoes,1.01," 23,508 "," 10,388 "
25,1300,New Brunswick,3520,Toronto,32,Empty,1.85, -   , -   
26,1300,New Brunswick,3520,Toronto,33,Mail,1.97," 21,558 ", -   
27,1300,New Brunswick,3521,Peel,4,Base metals and articles of base metal,1.04," 9,687 "," 42,917 "
28,1300,New Brunswick,3521,Peel,13,"Meat, fish and seafood",2.32," 42,281 "," 155,031 "
29,1300,New Brunswick,3521,Peel,17,"Organic chemical, fertilizer",1.02," 20,676 "," 18,786 "
30,1300,New Brunswick,3521,Peel,19,Other agriculture and food products,9.86," 143,998 "," 236,423 "
31,1300,New Brunswick,3521,Peel,21,Other manufactured and miscellaneous goods,6.34," 74,702 "," 467,725 "
32,1300,New Brunswick,3521,Peel,22,Other raw and finished forest products,5.71," 131,231 "," 124,426 "
33,1300,New Brunswick,3521,Peel,23,Paper and paper products,2.70," 44,085 "," 81,022 "
34,1300,New Brunswick,3521,Peel,24,Parts & accessories for motors vehicles/ ogte,1.04," 2,166 "," 8,226 "
35,1300,New Brunswick,3521,Peel,32,Empty,1.96, -   , -   
36,1300,New Brunswick,3524,Halton,13,"Meat, fish and seafood",1.08," 15,857 "," 60,532 "
37,1300,New Brunswick,3524,Halton,22,Other raw and finished forest products,1.05," 26,336 "," 38,589 "
38,1300,New Brunswick,3524,Halton,23,Paper and paper products,1.10," 20,434 "," 24,119 "
39,1300,New Brunswick,3524,Halton,32,Empty,1.64, -   , -   
40,1300,New Brunswick,3526,Niagara,17,"Organic chemical, fertilizer",3.69," 74,365 "," 67,568 "
41,1300,New Brunswick,3530,Waterloo,19,Other agriculture and food products,1.20," 22,571 "," 19,933 "
42,1300,New Brunswick,3530,Waterloo,26,Potatoes,1.03," 23,653 "," 10,452 "
43,1300,New Brunswick,3536,Kent,22,Other raw and finished forest products,1.33," 31,902 "," 26,150 "
44,1300,New Brunswick,3543,Simcoe,26,Potatoes,2.38," 56,880 "," 25,136 "
45,1300,New Brunswick,4600,Manitoba,13,"Meat, fish and seafood",1.13," 24,881 "," 61,132 "
46,1300,New Brunswick,4600,Manitoba,19,Other agriculture and food products,1.34," 21,317 "," 35,567 "
47,1300,New Brunswick,4800,Alberta,21,Other manufactured and miscellaneous goods,1.03," 12,855 "," 84,514 "
48,1300,New Brunswick,7017,Illinois,4,Base metals and articles of base metal,1.29," 19,699 "," 31,969 "
49,1300,New Brunswick,7017,Illinois,22,Other raw and finished forest products,1.67," 32,619 "," 52,579 "
50,1300,New Brunswick,7017,Illinois,23,Paper and paper products,1.01," 15,877 "," 19,799 "
51,1300,New Brunswick,7027,Minnesota,23,Paper and paper products,1.45," 21,214 "," 26,455 "
52,1300,New Brunswick,7039,Ohio,17,"Organic chemical, fertilizer",1.57," 29,855 "," 18,988 "
53,1300,New Brunswick,7047,Tennessee,22,Other raw and finished forest products,1.64," 34,617 "," 45,548 "
54,2400,Quebec,1000,Newfoundland And Labrador ,31,Shipping containers returned empty,1.05," 4,915 ", -   
55,2400,Quebec,1000,Newfoundland And Labrador ,32,Empty,7.16, -   , -   
56,2400,Quebec,2400,Quebec,3,Automobiles and other vehicles/ gte,11.33," 166,831 "," 2,679,805 "
57,2400,Quebec,2400,Quebec,4,Base metals and articles of base metal,4.75," 85,086 "," 351,224 "
58,2400,Quebec,2400,Quebec,5,Cement and non-metallic mineral products,16.96," 447,955 "," 143,616 "
59,2400,Quebec,2400,Quebec,8,"Electronic, electrical & office equipment",3.41," 44,010 "," 142,193 "
60,2400,Quebec,2400,Quebec,10,Liquefied propane gases and other petroleum products including liquefied natural gas,1.82," 65,092 "," 11,125 "
61,2400,Quebec,2400,Quebec,11,Lumber,13.14," 369,918 "," 497,299 "
62,2400,Quebec,2400,Quebec,12,Machinery,7.42," 79,309 "," 633,615 "
63,2400,Quebec,2400,Quebec,13,"Meat, fish and seafood",4.81," 11,384 "," 36,307 "
64,2400,Quebec,2400,Quebec,14,"Minerals, ores and concentrates",7.10," 117,725 "," 21,276 "
65,2400,Quebec,2400,Quebec,15,Newsprint,1.82," 22,730 "," 21,344 "
66,2400,Quebec,2400,Quebec,17,"Organic chemical, fertilizer",2.05," 58,533 "," 26,344 "
67,2400,Quebec,2400,Quebec,18,"Other (fuel oil, gasoline and aviation fuel)",3.04," 124,937 "," 45,572 "
68,2400,Quebec,2400,Quebec,19,Other agriculture and food products,44.18," 488,078 "," 530,703 "
69,2400,Quebec,2400,Quebec,20,Other chemical products,13.22," 324,889 "," 1,117,329 "
70,2400,Quebec,2400,Quebec,21,Other manufactured and miscellaneous goods,57.40," 542,504 "," 3,648,927 "
71,2400,Quebec,2400,Quebec,22,Other raw and finished forest products,20.17," 503,672 "," 600,954 "
72,2400,Quebec,2400,Quebec,23,Paper and paper products,23.91," 288,966 "," 602,893 "
73,2400,Quebec,2400,Quebec,24,Parts & accessories for motors vehicles/ ogte,1.06," 5,347 "," 18,474 "
74,2400,Quebec,2400,Quebec,25,Plastics and rubber products,19.70," 97,708 "," 432,484 "
75,2400,Quebec,2400,Quebec,28,Waste and scrap,8.99," 150,858 "," 36,907 "
76,2400,Quebec,2400,Quebec,30,Wood pulp,9.63," 276,548 "," 210,828 "
77,2400,Quebec,2400,Quebec,32,Empty,238.86, -   , -   
78,2400,Quebec,2400,Quebec,33,Mail,5.72," 18,388 ", -   
79,2400,Quebec,3501,"Stormont, Dundas & Glengarry",3,Automobiles and other vehicles/ gte,3.73," 21,423 "," 159,233 "
80,2400,Quebec,3501,"Stormont, Dundas & Glengarry",4,Base metals and articles of base metal,11.99," 101,038 "," 428,889 "
81,2400,Quebec,3501,"Stormont, Dundas & Glengarry",5,Cement and non-metallic mineral products,24.84," 318,723 "," 456,079 "
82,2400,Quebec,3501,"Stormont, Dundas & Glengarry",8,"Electronic, electrical & office equipment",10.78," 98,610 "," 789,040 "
83,2400,Quebec,3501,"Stormont, Dundas & Glengarry",10,Liquefied propane gases and other petroleum products including liquefied natural gas,2.71," 79,492 "," 13,968 "
84,2400,Quebec,3501,"Stormont, Dundas & Glengarry",11,Lumber,4.45," 135,964 "," 98,481 "
85,2400,Quebec,3501,"Stormont, Dundas & Glengarry",12,Machinery,3.19," 25,680 "," 159,366 "
86,2400,Quebec,3501,"Stormont, Dundas & Glengarry",13,"Meat, fish and seafood",13.39," 168,113 "," 523,071 "
87,2400,Quebec,3501,"Stormont, Dundas & Glengarry",14,"Minerals, ores and concentrates",1.27," 27,706 ", 222 
88,2400,Quebec,3501,"Stormont, Dundas & Glengarry",18,"Other (fuel oil, gasoline and aviation fuel)",7.72," 204,866 "," 80,269 "
89,2400,Quebec,3501,"Stormont, Dundas & Glengarry",19,Other agriculture and food products,67.33," 981,109 "," 2,560,244 "
90,2400,Quebec,3501,"Stormont, Dundas & Glengarry",20,Other chemical products,12.52," 139,638 "," 723,645 "
91,2400,Quebec,3501,"Stormont, Dundas & Glengarry",21,Other manufactured and miscellaneous goods,63.23," 505,735 "," 3,493,674 "
92,2400,Quebec,3501,"Stormont, Dundas & Glengarry",22,Other raw and finished forest products,19.09," 512,032 "," 236,307 "
93,2400,Quebec,3501,"Stormont, Dundas & Glengarry",23,Paper and paper products,26.14," 128,074 "," 348,631 "
94,2400,Quebec,3501,"Stormont, Dundas & Glengarry",24,Parts & accessories for motors vehicles/ ogte,8.43," 44,014 "," 588,261 "
95,2400,Quebec,3501,"Stormont, Dundas & Glengarry",25,Plastics and rubber products,11.38," 169,764 "," 910,689 "
96,2400,Quebec,3501,"Stormont, Dundas & Glengarry",28,Waste and scrap,5.22," 161,587 "," 297,001 "
97,2400,Quebec,3501,"Stormont, Dundas & Glengarry",31,Shipping containers returned empty,1.47," 4,678 ", -   
98,2400,Quebec,3501,"Stormont, Dundas & Glengarry",32,Empty,344.00, -   , -   
99,2400,Quebec,3502,Prescott & Russell,3,Automobiles and other vehicles/ gte,1.31," 2,984 "," 7,694 "
100,2400,Quebec,3502,Prescott & Russell,4,Base metals and articles of base metal,5.48," 40,481 "," 39,970 "
101,2400,Quebec,3502,Prescott & Russell,5,Cement and non-metallic mineral products,15.81," 370,289 "," 113,606 "
102,2400,Quebec,3502,Prescott & Russell,12,Machinery,1.67," 10,002 "," 54,814 "
103,2400,Quebec,3502,Prescott & Russell,13,"Meat, fish and seafood",3.99," 32,046 "," 96,868 "
104,2400,Quebec,3502,Prescott & Russell,14,"Minerals, ores and concentrates",3.52," 106,193 "," 9,757 "
105,2400,Quebec,3502,Prescott & Russell,18,"Other (fuel oil, gasoline and aviation fuel)",4.54," 160,762 "," 68,004 "
106,2400,Quebec,3502,Prescott & Russell,19,Other agriculture and food products,32.70," 284,175 "," 353,868 "
107,2400,Quebec,3502,Prescott & Russell,21,Other manufactured and miscellaneous goods,19.77," 37,824 "," 280,802 "
108,2400,Quebec,3502,Prescott & Russell,22,Other raw and finished forest products,16.67," 245,522 "," 150,253 "
109,2400,Quebec,3502,Prescott & Russell,23,Paper and paper products,1.71," 11,998 "," 29,304 "
110,2400,Quebec,3502,Prescott & Russell,25,Plastics and rubber products,7.59," 2,735 "," 18,130 "
111,2400,Quebec,3502,Prescott & Russell,29,Wheat and other cereal grains,2.35, 47 , 8 
112,2400,Quebec,3502,Prescott & Russell,31,Shipping containers returned empty,2.46," 1,343 ", -   
113,2400,Quebec,3502,Prescott & Russell,32,Empty,163.00, -   , -   
114,2400,Quebec,3506,Ottawa-Carleton,3,Automobiles and other vehicles/ gte,41.28," 374,821 "," 5,828,401 "
115,2400,Quebec,3506,Ottawa-Carleton,4,Base metals and articles of base metal,23.05," 292,846 "," 470,925 "
116,2400,Quebec,3506,Ottawa-Carleton,5,Cement and non-metallic mineral products,62.58," 1,279,020 "," 618,625 "
117,2400,Quebec,3506,Ottawa-Carleton,8,"Electronic, electrical & office equipment",17.74," 71,993 "," 4,985,432 "
118,2400,Quebec,3506,Ottawa-Carleton,10,Liquefied propane gases and other petroleum products including liquefied natural gas,15.72," 302,272 "," 115,722 "
119,2400,Quebec,3506,Ottawa-Carleton,11,Lumber,26.33," 392,588 "," 553,221 "
120,2400,Quebec,3506,Ottawa-Carleton,12,Machinery,13.47," 45,700 "," 269,634 "
121,2400,Quebec,3506,Ottawa-Carleton,13,"Meat, fish and seafood",11.97," 78,406 "," 321,601 "
122,2400,Quebec,3506,Ottawa-Carleton,14,"Minerals, ores and concentrates",23.66," 675,571 "," 145,255 "
123,2400,Quebec,3506,Ottawa-Carleton,15,Newsprint,3.13," 63,143 "," 59,292 "
124,2400,Quebec,3506,Ottawa-Carleton,16,"Optical, medical, photographic, scientific & technical",6.85," 2,688 "," 87,851 "
125,2400,Quebec,3506,Ottawa-Carleton,17,"Organic chemical, fertilizer",1.24," 34,472 "," 13,996 "
126,2400,Quebec,3506,Ottawa-Carleton,18,"Other (fuel oil, gasoline and aviation fuel)",5.81," 126,420 "," 53,049 "
127,2400,Quebec,3506,Ottawa-Carleton,19,Other agriculture and food products,160.19," 1,632,157 "," 2,580,105 "
128,2400,Quebec,3506,Ottawa-Carleton,20,Other chemical products,23.48," 187,963 "," 859,106 "
129,2400,Quebec,3506,Ottawa-Carleton,21,Other manufactured and miscellaneous goods,186.09," 1,342,192 "," 10,347,898 "
130,2400,Quebec,3506,Ottawa-Carleton,22,Other raw and finished forest products,36.72," 501,624 "," 937,550 "
131,2400,Quebec,3506,Ottawa-Carleton,23,Paper and paper products,62.24," 497,729 "," 1,328,100 "
132,2400,Quebec,3506,Ottawa-Carleton,24,Parts & accessories for motors vehicles/ ogte,10.21," 83,806 "," 309,166 "
133,2400,Quebec,3506,Ottawa-Carleton,25,Plastics and rubber products,36.16," 155,328 "," 647,004 "
134,2400,Quebec,3506,Ottawa-Carleton,26,Potatoes,3.97," 51,462 "," 22,741 "
135,2400,Quebec,3506,Ottawa-Carleton,27,Telecommunications equipment and material,9.68," 1,256 "," 60,966 "
136,2400,Quebec,3506,Ottawa-Carleton,28,Waste and scrap,31.25," 291,612 "," 174,341 "
137,2400,Quebec,3506,Ottawa-Carleton,32,Empty,769.99, -   , -   
138,2400,Quebec,3506,Ottawa-Carleton,33,Mail,23.87," 170,743 ", -   
139,2400,Quebec,3507,Leeds And Grenville United Counties,4,Base metals and articles of base metal,6.25," 122,951 "," 502,321 "
140,2400,Quebec,3507,Leeds And Grenville United Counties,5,Cement and non-metallic mineral products,3.18," 64,015 "," 100,790 "
141,2400,Quebec,3507,Leeds And Grenville United Counties,8,"Electronic, electrical & office equipment",6.13," 47,397 "," 1,034,806 "
142,2400,Quebec,3507,Leeds And Grenville United Counties,15,Newsprint,18.21," 302,379 "," 283,933 "
143,2400,Quebec,3507,Leeds And Grenville United Counties,17,"Organic chemical, fertilizer",3.30," 87,096 "," 319,399 "
144,2400,Quebec,3507,Leeds And Grenville United Counties,18,"Other (fuel oil, gasoline and aviation fuel)",4.26," 162,701 "," 60,949 "
145,2400,Quebec,3507,Leeds And Grenville United Counties,19,Other agriculture and food products,18.25," 208,431 "," 549,714 "
146,2400,Quebec,3507,Leeds And Grenville United Counties,20,Other chemical products,2.32," 12,911 "," 40,884 "
147,2400,Quebec,3507,Leeds And Grenville United Counties,21,Other manufactured and miscellaneous goods,19.15," 227,226 "," 1,520,558 "
148,2400,Quebec,3507,Leeds And Grenville United Counties,22,Other raw and finished forest products,3.05," 26,919 "," 20,503 "
149,2400,Quebec,3507,Leeds And Grenville United Counties,23,Paper and paper products,18.31," 230,544 "," 618,344 "
150,2400,Quebec,3507,Leeds And Grenville United Counties,24,Parts & accessories for motors vehicles/ ogte,5.44," 58,427 "," 233,063 "
151,2400,Quebec,3507,Leeds And Grenville United Counties,25,Plastics and rubber products,3.14," 36,886 "," 121,415 "
152,2400,Quebec,3507,Leeds And Grenville United Counties,29,Wheat and other cereal grains,2.05," 52,167 "," 11,216 "
153,2400,Quebec,3507,Leeds And Grenville United Counties,32,Empty,114.81, -   , -   
154,2400,Quebec,3509,Lanark,3,Automobiles and other vehicles/ gte,2.20," 14,111 "," 130,550 "
155,2400,Quebec,3509,Lanark,5,Cement and non-metallic mineral products,2.20," 31,872 "," 14,336 "
156,2400,Quebec,3509,Lanark,14,"Minerals, ores and concentrates",1.21," 23,417 "," 2,231 "
157,2400,Quebec,3509,Lanark,21,Other manufactured and miscellaneous goods,1.38," 31,659 "," 215,128 "
158,2400,Quebec,3509,Lanark,32,Empty,51.03, -   , -   
159,2400,Quebec,3510,Frontenac,4,Base metals and articles of base metal,4.46," 82,256 "," 166,527 "
160,2400,Quebec,3510,Frontenac,5,Cement and non-metallic mineral products,5.57," 97,464 "," 185,781 "
161,2400,Quebec,3510,Frontenac,8,"Electronic, electrical & office equipment",8.23," 71,955 "," 1,600,344 "
162,2400,Quebec,3510,Frontenac,11,Lumber,5.51," 143,924 "," 260,113 "
163,2400,Quebec,3510,Frontenac,12,Machinery,3.46," 58,681 "," 398,824 "
164,2400,Quebec,3510,Frontenac,13,"Meat, fish and seafood",1.56," 18,785 "," 100,826 "
165,2400,Quebec,3510,Frontenac,16,"Optical, medical, photographic, scientific & technical",1.28," 5,822 "," 141,205 "
166,2400,Quebec,3510,Frontenac,19,Other agriculture and food products,22.97," 314,909 "," 655,430 "
167,2400,Quebec,3510,Frontenac,20,Other chemical products,9.93," 141,004 "," 1,731,831 "
168,2400,Quebec,3510,Frontenac,21,Other manufactured and miscellaneous goods,91.04," 1,013,207 "," 8,897,530 "
169,2400,Quebec,3510,Frontenac,22,Other raw and finished forest products,5.11," 60,346 "," 68,095 "
170,2400,Quebec,3510,Frontenac,23,Paper and paper products,15.12," 305,780 "," 470,989 "
171,2400,Quebec,3510,Frontenac,24,Parts & accessories for motors vehicles/ ogte,8.40," 72,931 "," 271,144 "
172,2400,Quebec,3510,Frontenac,25,Plastics and rubber products,8.37," 71,889 "," 297,187 "
173,2400,Quebec,3510,Frontenac,28,Waste and scrap,1.95," 33,145 "," 35,385 "
174,2400,Quebec,3510,Frontenac,32,Empty,23.75, -   , -   
175,2400,Quebec,3510,Frontenac,33,Mail,16.52," 151,550 ", -   
176,2400,Quebec,3511,Lennox & Addington,4,Base metals and articles of base metal,2.96," 49,479 "," 261,474 "
177,2400,Quebec,3511,Lennox & Addington,8,"Electronic, electrical & office equipment",1.49," 6,113 "," 68,055 "
178,2400,Quebec,3511,Lennox & Addington,11,Lumber,1.16," 47,085 "," 31,740 "
179,2400,Quebec,3511,Lennox & Addington,21,Other manufactured and miscellaneous goods,12.72," 187,601 "," 1,004,470 "
180,2400,Quebec,3511,Lennox & Addington,24,Parts & accessories for motors vehicles/ ogte,1.99," 25,608 "," 71,895 "
181,2400,Quebec,3511,Lennox & Addington,25,Plastics and rubber products,7.22," 131,747 "," 613,668 "
182,2400,Quebec,3511,Lennox & Addington,32,Empty,4.29, -   , -   
183,2400,Quebec,3512,Hastings,4,Base metals and articles of base metal,2.45," 34,592 "," 93,296 "
184,2400,Quebec,3512,Hastings,8,"Electronic, electrical & office equipment",1.83," 35,744 "," 190,596 "
185,2400,Quebec,3512,Hastings,10,Liquefied propane gases and other petroleum products including liquefied natural gas,4.30," 152,895 "," 94,920 "
186,2400,Quebec,3512,Hastings,11,Lumber,3.56," 165,367 "," 126,447 "
187,2400,Quebec,3512,Hastings,13,"Meat, fish and seafood",1.37," 20,749 "," 71,568 "
188,2400,Quebec,3512,Hastings,14,"Minerals, ores and concentrates",3.38," 95,261 "," 31,370 "
189,2400,Quebec,3512,Hastings,17,"Organic chemical, fertilizer",2.97," 54,946 "," 40,048 "
190,2400,Quebec,3512,Hastings,18,"Other (fuel oil, gasoline and aviation fuel)",2.14," 71,390 "," 29,920 "
191,2400,Quebec,3512,Hastings,19,Other agriculture and food products,25.17," 438,133 "," 1,713,897 "
192,2400,Quebec,3512,Hastings,20,Other chemical products,2.00," 28,090 "," 117,132 "
193,2400,Quebec,3512,Hastings,21,Other manufactured and miscellaneous goods,17.03," 162,335 "," 1,064,523 "
194,2400,Quebec,3512,Hastings,22,Other raw and finished forest products,1.80," 49,165 "," 28,961 "
195,2400,Quebec,3512,Hastings,23,Paper and paper products,4.87," 68,587 "," 123,160 "
196,2400,Quebec,3512,Hastings,25,Plastics and rubber products,4.04," 34,507 "," 148,962 "
197,2400,Quebec,3512,Hastings,32,Empty,33.48, -   , -   
198,2400,Quebec,3513,Prince Edward,17,"Organic chemical, fertilizer",1.05," 28,715 "," 26,091 "
199,2400,Quebec,3513,Prince Edward,32,Empty,1.07, -   , -   
200,2400,Quebec,3514,Northumberland,4,Base metals and articles of base metal,1.77," 38,350 "," 148,353 "
201,2400,Quebec,3514,Northumberland,5,Cement and non-metallic mineral products,1.60," 29,088 "," 14,367 "
202,2400,Quebec,3514,Northumberland,8,"Electronic, electrical & office equipment",1.07," 16,404 "," 91,595 "
203,2400,Quebec,3514,Northumberland,11,Lumber,2.21," 64,728 "," 102,102 "
204,2400,Quebec,3514,Northumberland,19,Other agriculture and food products,2.84," 33,910 "," 106,464 "
205,2400,Quebec,3514,Northumberland,20,Other chemical products,1.77," 30,039 "," 147,131 "
206,2400,Quebec,3514,Northumberland,32,Empty,5.67, -   , -   
207,2400,Quebec,3515,Peterborough,11,Lumber,1.81," 54,728 "," 36,893 "
208,2400,Quebec,3515,Peterborough,19,Other agriculture and food products,4.47," 105,804 "," 46,523 "
209,2400,Quebec,3515,Peterborough,29,Wheat and other cereal grains,2.45," 99,131 "," 16,055 "
210,2400,Quebec,3515,Peterborough,32,Empty,4.19, -   , -   
211,2400,Quebec,3516,Victoria,29,Wheat and other cereal grains,1.23," 6,170 "," 1,351 "
212,2400,Quebec,3516,Victoria,32,Empty,1.87, -   , -   
213,2400,Quebec,3518,Durham,4,Base metals and articles of base metal,15.79," 486,034 "," 1,859,169 "
214,2400,Quebec,3518,Durham,8,"Electronic, electrical & office equipment",2.99," 37,137 "," 884,973 "
215,2400,Quebec,3518,Durham,10,Liquefied propane gases and other petroleum products including liquefied natural gas,1.74," 35,390 "," 9,622 "
216,2400,Quebec,3518,Durham,11,Lumber,3.91," 139,603 "," 178,909 "
217,2400,Quebec,3518,Durham,13,"Meat, fish and seafood",1.28," 21,966 "," 98,198 "
218,2400,Quebec,3518,Durham,14,"Minerals, ores and concentrates",2.86," 87,744 "," 17,097 "
219,2400,Quebec,3518,Durham,17,"Organic chemical, fertilizer",2.81," 54,634 "," 43,363 "
220,2400,Quebec,3518,Durham,19,Other agriculture and food products,14.35," 211,154 "," 569,445 "
221,2400,Quebec,3518,Durham,21,Other manufactured and miscellaneous goods,8.58," 77,086 "," 689,964 "
222,2400,Quebec,3518,Durham,22,Other raw and finished forest products,3.63," 91,096 "," 56,626 "
223,2400,Quebec,3518,Durham,23,Paper and paper products,5.51," 96,144 "," 235,942 "
224,2400,Quebec,3518,Durham,24,Parts & accessories for motors vehicles/ ogte,3.90," 39,977 "," 150,852 "
225,2400,Quebec,3518,Durham,25,Plastics and rubber products,4.09," 14,192 "," 64,542 "
226,2400,Quebec,3518,Durham,28,Waste and scrap,1.80," 35,018 "," 27,103 "
227,2400,Quebec,3518,Durham,32,Empty,20.92, -   , -   
228,2400,Quebec,3519,York,3,Automobiles and other vehicles/ gte,1.67," 22,541 "," 337,241 "
229,2400,Quebec,3519,York,4,Base metals and articles of base metal,15.65," 405,263 "," 1,055,355 "
230,2400,Quebec,3519,York,5,Cement and non-metallic mineral products,3.95," 106,800 "," 118,058 "
231,2400,Quebec,3519,York,8,"Electronic, electrical & office equipment",2.70," 29,580 "," 369,591 "
232,2400,Quebec,3519,York,11,Lumber,2.58," 71,474 "," 89,409 "
233,2400,Quebec,3519,York,13,"Meat, fish and seafood",2.51," 23,560 "," 77,729 "
234,2400,Quebec,3519,York,15,Newsprint,4.89," 150,929 "," 141,722 "
235,2400,Quebec,3519,York,19,Other agriculture and food products,14.08," 253,360 "," 787,630 "
236,2400,Quebec,3519,York,20,Other chemical products,4.02," 36,408 "," 810,462 "
237,2400,Quebec,3519,York,21,Other manufactured and miscellaneous goods,21.91," 290,009 "," 1,965,492 "
238,2400,Quebec,3519,York,22,Other raw and finished forest products,6.75," 150,211 "," 185,027 "
239,2400,Quebec,3519,York,23,Paper and paper products,16.08," 341,165 "," 501,187 "
240,2400,Quebec,3519,York,25,Plastics and rubber products,9.78," 77,823 "," 343,550 "
241,2400,Quebec,3519,York,32,Empty,17.92, -   , -   
242,2400,Quebec,3520,Toronto,3,Automobiles and other vehicles/ gte,3.88," 50,268 "," 727,644 "
243,2400,Quebec,3520,Toronto,4,Base metals and articles of base metal,16.42," 400,294 "," 711,452 "
244,2400,Quebec,3520,Toronto,5,Cement and non-metallic mineral products,9.17," 207,460 "," 464,325 "
245,2400,Quebec,3520,Toronto,8,"Electronic, electrical & office equipment",5.01," 50,157 "," 2,079,731 "
246,2400,Quebec,3520,Toronto,10,Liquefied propane gases and other petroleum products including liquefied natural gas,1.51," 47,011 "," 32,143 "
247,2400,Quebec,3520,Toronto,11,Lumber,5.48," 158,013 "," 213,808 "
248,2400,Quebec,3520,Toronto,12,Machinery,3.28," 36,376 "," 272,252 "
249,2400,Quebec,3520,Toronto,13,"Meat, fish and seafood",12.54," 175,127 "," 633,005 "
250,2400,Quebec,3520,Toronto,14,"Minerals, ores and concentrates",1.70," 42,793 "," 8,240 "
251,2400,Quebec,3520,Toronto,15,Newsprint,1.68," 38,886 "," 36,514 "
252,2400,Quebec,3520,Toronto,17,"Organic chemical, fertilizer",3.34," 91,453 "," 68,894 "
253,2400,Quebec,3520,Toronto,18,"Other (fuel oil, gasoline and aviation fuel)",2.02," 56,637 "," 23,957 "
254,2400,Quebec,3520,Toronto,19,Other agriculture and food products,56.71," 1,021,272 "," 1,706,187 "
255,2400,Quebec,3520,Toronto,20,Other chemical products,4.20," 68,668 "," 720,428 "
256,2400,Quebec,3520,Toronto,21,Other manufactured and miscellaneous goods,42.17," 402,437 "," 3,197,627 "
257,2400,Quebec,3520,Toronto,22,Other raw and finished forest products,9.59," 235,012 "," 329,583 "
258,2400,Quebec,3520,Toronto,23,Paper and paper products,31.70," 581,977 "," 1,013,777 "
259,2400,Quebec,3520,Toronto,24,Parts & accessories for motors vehicles/ ogte,4.50," 38,127 "," 142,257 "
260,2400,Quebec,3520,Toronto,25,Plastics and rubber products,18.77," 268,867 "," 949,878 "
261,2400,Quebec,3520,Toronto,28,Waste and scrap,4.84," 95,043 "," 112,053 "
262,2400,Quebec,3520,Toronto,30,Wood pulp,2.16," 63,838 "," 55,955 "
263,2400,Quebec,3520,Toronto,32,Empty,47.01, -   , -   
264,2400,Quebec,3520,Toronto,33,Mail,22.38," 206,147 ", -   
265,2400,Quebec,3521,Peel,1,"Aircraft and spacecraft, including parts",1.41," 5,015 "," 563,195 "
266,2400,Quebec,3521,Peel,3,Automobiles and other vehicles/ gte,3.49," 31,912 "," 380,566 "
267,2400,Quebec,3521,Peel,4,Base metals and articles of base metal,41.52," 837,699 "," 2,259,897 "
268,2400,Quebec,3521,Peel,5,Cement and non-metallic mineral products,12.82," 204,406 "," 227,003 "
269,2400,Quebec,3521,Peel,8,"Electronic, electrical & office equipment",11.41," 110,743 "," 2,975,794 "
270,2400,Quebec,3521,Peel,10,Liquefied propane gases and other petroleum products including liquefied natural gas,2.99," 109,056 "," 74,389 "
